"install_date","country","platform","d1_retention_pct","d7_retention_pct","d7_to_d1_ratio"
"2019-08-11","Gotham","android",45.89,29.45,0.64
"2019-08-11","Gotham","ios",40.87,19.13,0.47
"2019-08-11","Krypton","android",45.95,32.43,0.71
"2019-08-11","Krypton","ios",45.88,28.24,0.62
"2019-08-11","Mordor","android",37.5,25.69,0.69
"2019-08-11","Mordor","ios",47.22,31.67,0.67
"2019-08-11","Tatooine","android",48.95,27.11,0.55
"2019-08-11","Tatooine","ios",48.7,27.72,0.57
"2019-08-12","Asgard","android",38.95,26.32,0.68
"2019-08-12","Asgard","ios",39.06,31.25,0.8
"2019-08-12","Gargantua","android",44.31,21.12,0.48
"2019-08-12","Gargantua","ios",46.86,25.56,0.55
"2019-08-12","Gotham","android",45.79,21.25,0.46
"2019-08-12","Gotham","ios",43.73,20.34,0.47
"2019-08-12","Krypton","android",47.37,26.32,0.56
"2019-08-12","Krypton","ios",53.66,29.27,0.55
"2019-08-12","Mordor","android",46.01,25.15,0.55
"2019-08-12","Mordor","ios",51.5,33,0.64
"2019-08-12","Tatooine","android",53.13,28.39,0.53
"2019-08-12","Tatooine","ios",55.52,29.02,0.52
"2019-08-13","Asgard","android",32.05,15.38,0.48
"2019-08-13","Asgard","ios",37.7,26.23,0.7
"2019-08-13","Gargantua","android",48.73,29.35,0.6
"2019-08-13","Gargantua","ios",48.98,26.26,0.54
"2019-08-13","Gotham","android",46.18,21.53,0.47
"2019-08-13","Gotham","ios",45.71,23.27,0.51
"2019-08-13","Krypton","android",43.62,29.79,0.68
"2019-08-13","Krypton","ios",51.22,26.83,0.52
